Timestamp,primary_color,secondary_color,blue,gold,green,orange,sports,zodiac,introvert_extrovert,super_power
11/17/2023 11:48:41,Green,Blue,13,12,14,11,Yes,Sagittarius,introvert,Freeze Time
11/17/2023 11:48:54,Gold,Green,11,18,15,6,No,Taurus,ambivert,Freeze Time
11/17/2023 11:48:55,Green,Gold,10,14,17,9,Yes,Libra,ambivert,Flying
11/17/2023 11:49:04,Blue,Orange,19,8,11,12,No,Taurus,introvert,Flying
11/17/2023 11:49:07,Orange,Blue,13,6,11,20,Yes,Libra,ambivert,Freeze Time
11/17/2023 11:49:07,Green,Gold,11,13,15,11,Yes,Virgo,ambivert,Super Speed
11/17/2023 11:49:34,Blue,Green,19,7,14,10,No,Leo,introvert,Freeze Time
11/17/2023 11:49:34,Blue,Orange,16,8,12,14,Yes,Aries,extrovert,Freeze Time
11/17/2023 11:49:38,Blue,Gold,19,13,11,7,No,Pisces,extrovert,Read Minds
11/17/2023 11:49:40,Orange,Blue,13,8,12,17,Yes,Pisces,extrovert,Read Minds
11/17/2023 11:49:55,Green,Blue,16,10,17,7,Yes,Virgo,introvert,Invisibility
11/17/2023 11:50:00,Blue,Gold,20,12,7,11,Yes,Aries,introvert,Read Minds
11/17/2023 11:50:00,Blue,Green,18,10,11,11,Yes,Pisces,extrovert,Flying
11/17/2023 11:50:14,Blue,Gold,16,13,8,13,Yes,Leo,ambivert,Read Minds
11/17/2023 11:50:45,Gold,Blue,14,16,11,9,No,Capricorn,ambivert,Super Speed
11/17/2023 11:50:48,Blue,Gold,19,13,12,6,No,Leo,introvert,Read Minds
11/17/2023 11:51:03,Blue,Green,15,6,10,9,Yes,Pisces,extrovert,Read Minds
11/17/2023 11:51:23,Blue,Gold,20,12,10,8,Yes,Gemini,ambivert,Freeze Time
11/17/2023 11:53:00,Green,Gold,9,15,20,6,Yes,Cancer,ambivert,Super Speed
11/17/2023 11:53:29,Gold,Blue,14,18,9,9,Yes,Scorpio,ambivert,Freeze Time
11/17/2023 11:54:08,Orange,Green,11,7,12,20,Yes,Taurus,extrovert,Freeze Time
11/17/2023 12:04:54,Green,Blue,14,11,15,10,Yes,Libra,introvert,Freeze Time
11/27/2023 12:56:07,Green,Gold,6,14,16,14,No,Leo,ambivert,Flying
11/27/2023 13:01:30,Green,Gold,12,13,15,10,Yes,Virgo,introvert,Freeze Time
11/27/2023 13:35:43,Green,Gold,8,13,17,12,No,Sagittarius,introvert,Freeze Time
11/27/2023 13:35:46,Blue,Gold,19,13,10,8,No,Gemini,introvert,Super Speed
11/27/2023 13:36:27,Blue,Orange,20,10,9,11,No,Taurus,ambivert,Freeze Time
11/27/2023 13:37:56,Blue,Gold,19,12,11,8,No,Capricorn,extrovert,Invisibility
11/27/2023 13:38:24,Green,Blue,14,11,14,11,Yes,Sagittarius,ambivert,Read Minds
11/27/2023 13:38:52,Blue,Orange,20,12,10,8,No,Scorpio,ambivert,Freeze Time
11/27/2023 13:39:21,Orange,Blue,14,7,11,18,Yes,Libra,ambivert,Flying
11/27/2023 13:40:41,Green,Blue,12,5,16,6,No,Aries,introvert,Freeze Time
11/27/2023 13:41:34,Green,Gold,10,11,19,10,No,Aquarius,introvert,Freeze Time
11/27/2023 13:44:14,Blue,Orange,20,11,6,13,Yes,Aries,ambivert,Freeze Time
11/27/2023 13:58:12,Gold,Green,13,15,14,8,No,Capricorn,introvert,Invisibility
