Timestamp,Day,Sleep,Meals/Eating/Prep,School,Homework,Working,Personal Hygiene,Travel/Commute,Chores,Online,Friends,Streaming,Videogames,Sports,Reading,Hobbies,Other
11/6/2023 13:01:20,Day 1 - Th 6am to F 6am,465,60,180,0,0,55,135,10,60,180,0,0,295,0,0,0
11/6/2023 13:02:50,Day 2 - F 6am to Sat 6am,450,70,470,0,270,30,40,0,10,70,30,0,0,0,0,0
11/6/2023 13:02:54,Day 1 - Th 6am to F 6am,570,45,420,90,15,50,30,0,220,0,0,0,0,0,0,0
11/6/2023 13:04:01,Day 3 - Sat 6am to Sun 6am,960,120,0,30,60,60,0,60,50,0,0,0,0,0,100,0
11/6/2023 13:04:15,Day 3 - Sat 6am to Sun 6am,240,60,0,0,360,55,90,35,45,425,10,0,0,30,0,90
11/6/2023 13:04:30,Day 1 - Th 6am to F 6am,440,40,460,130,0,50,10,30,50,10,60,0,0,100,0,60
11/6/2023 13:04:36,Day 2 - F 6am to Sat 6am,490,0,420,60,0,70,30,20,210,0,140,0,0,0,0,0
11/6/2023 13:05:16,Day 4 - Sun 6am to M 6am,600,60,0,0,435,70,35,30,20,160,0,0,0,30,0,0
11/6/2023 13:06:14,Day 2 - F 6am to Sat 6am,500,40,540,0,0,30,10,20,15,25,170,0,0,70,0,20
11/6/2023 13:06:19,Day 3 - Sat 6am to Sun 6am,600,60,0,10,180,10,120,30,310,0,120,0,0,0,0,0
11/6/2023 13:06:42,Day 5 - M 6am to Tu 6am,600,75,330,30,180,50,50,20,60,45,0,0,0,0,0,0
11/6/2023 13:07:55,Day 4 - Sun 6am to M 6am,660,120,0,0,60,55,0,90,285,0,85,85,0,0,0,0
11/6/2023 13:08:03,Day 3 - Sat 6am to Sun 6am,520,70,0,30,0,90,50,50,60,360,150,0,0,60,0,0
11/6/2023 13:09:11,Day 1 - Th 6am to F 6am,490,55,130,160,0,60,160,0,25,40,20,0,300,0,0,0
11/6/2023 13:09:26,Day 5 - M 6am to Tu 6am,570,50,360,30,180,45,0,0,150,0,55,0,0,0,0,0
11/6/2023 13:10:20,Day 4 - Sun 6am to M 6am,570,40,90,80,0,60,10,80,70,0,170,0,0,0,0,270
11/6/2023 13:11:59,Day 1 - Th 6am to F 6am,960,120,540,60,0,60,120,0,60,540,0,0,0,0,0,0
11/6/2023 13:12:37,Day 5 - M 6am to Tu 6am,600,40,335,60,0,40,10,20,80,20,145,0,0,30,0,60
